step,train_loss,eval_loss,learning_rate,grad_norm
10,2.1506948471069336,,0.00018,0.48885098099708557
20,1.4171289443969726,,0.0001997049840640465,0.2980053722858429
25,,1.0737369060516357,,
30,1.1523510932922363,,0.0001986874104701338,0.35763752460479736
40,0.9769193649291992,,0.00019695104677693235,0.2889103889465332
50,1.0226683616638184,0.9442752599716187,0.00019450853979547386,0.3413263261318207
60,0.9379849433898926,,0.00019137767953389978,0.36740243434906006
70,0.9372612953186035,,0.0001875812696238745,0.375925749540329
75,,0.8915876150131226,,
80,0.8886482238769531,,0.00018314696123025454,0.39923006296157837
90,0.8579259872436523,,0.00017810705165373245,0.39832690358161926
100,0.9005837440490723,0.8610192537307739,0.00017249824909333446,0.44258999824523926
110,0.8434955596923828,,0.00016636140528212426,0.4140620529651642
120,0.8607150077819824,,0.00015974121794346257,0.47589820623397827
125,,0.8361815214157104,,
130,0.7891935348510742,,0.0001526859052349827,0.43088477849960327
140,0.7604883193969727,,0.0001452468545514707,0.4552534222602844
150,0.721088981628418,0.8290257453918457,0.00013747824824459577,0.4238812029361725
160,0.7288647651672363,,0.0001294366689855624,0.4299870431423187
170,0.7369619369506836,,0.00012118068764502676,0.462728887796402
175,,0.8193569183349609,,
180,0.76226806640625,,0.00011277043669195548,0.4195442497730255
190,0.7237481117248535,,0.00010426717221857756,0.5966575145721436
200,0.7209092140197754,0.808064877986908,9.573282778142247e-05,0.5009996891021729
210,0.6914244174957276,,8.722956330804455e-05,0.4583165645599365
220,0.7306944370269776,,7.881931235497325e-05,0.49807122349739075
225,,0.7984851598739624,,
230,0.7301243305206299,,7.05633310144376e-05,0.5268738865852356
240,0.6932238578796387,,6.252175175540422e-05,0.4538821876049042
250,0.6736914634704589,0.7893214225769043,5.475314544852929e-05,0.46714314818382263
260,0.6203418254852295,,4.731409476501733e-05,0.4802142381668091
270,0.5960448741912842,,4.025878205653747e-05,0.6643861532211304
275,,0.8178595304489136,,
280,0.5968712329864502,,3.36385947178758e-05,0.606743335723877
290,0.5831064701080322,,2.7501750906665603e-05,0.6037951707839966
300,0.5654201984405518,0.8103747963905334,2.1892948346267584e-05,0.5632739067077637
310,0.544250202178955,,1.6853038769745467e-05,0.623336672782898
320,0.5420180320739746,,1.2418730376125498e-05,0.6344236731529236
325,,0.8136414289474487,,
330,0.5796654701232911,,8.622320466100242e-06,0.6301292777061462
340,0.5606897830963135,,5.491460204526156e-06,0.6270490884780884
350,0.5929366111755371,0.8111094236373901,3.0489532230676743e-06,0.5911474823951721
360,0.5941713333129883,,1.3125895298661706e-06,0.6855071187019348
370,0.5278223037719727,,2.9501593595351317e-07,0.5142815113067627
375,,0.810547947883606,,
378,,0.8106855750083923,,
